Date,Open,High,Low,Close,Volume,Risk Free Rate
2023-04-26,0.07978,0.08361,0.075,0.07864,362723735.1,0.034319999217987
2023-04-27,0.07863,0.08103,0.07839,0.08016,243032232.9,0.0352800011634826
2023-04-28,0.08016,0.08074,0.07903,0.08038,107107518.5,0.0345199990272521
2023-04-29,0.08038,0.08198,0.08024,0.08159,85596976.0,0.0345199990272521
2023-04-30,0.08162,0.08178,0.0793,0.07951,90937692.2,0.0345199990272521
2023-05-01,0.07951,0.08008,0.07736,0.07884,171020627.8,0.0357399988174438
2023-05-02,0.07883,0.07914,0.07754,0.07881,102144808.3,0.0343899989128112
2023-05-03,0.07881,0.08069,0.0771,0.07963,148531525.7,0.0340300011634826
2023-05-04,0.07963,0.07976,0.07797,0.07842,115210212.4,0.0335100007057189
2023-05-05,0.07842,0.08154,0.07707,0.08031,215389800.6,0.0344600009918212
2023-05-06,0.0803,0.08057,0.07595,0.0769,197578893.8,0.0344600009918212
2023-05-07,0.07691,0.07759,0.07628,0.07665,105131337.0,0.0344600009918212
2023-05-08,0.07661,0.0772,0.07,0.07248,321112444.8,0.0352099990844726
2023-05-09,0.07249,0.07341,0.07218,0.07317,138104339.0,0.0352099990844726
2023-05-10,0.07318,0.07479,0.07042,0.07317,290629147.7,0.0343899989128112
2023-05-11,0.07317,0.07323,0.06915,0.07197,332563876.2,0.0339700007438659
2023-05-12,0.07198,0.07276,0.06939,0.07238,246137435.3,0.034630000591278
2023-05-13,0.07238,0.07244,0.07134,0.0717,62400371.6,0.034630000591278
2023-05-14,0.0717,0.07269,0.07115,0.07197,84273137.2,0.034630000591278
2023-05-15,0.07197,0.0737,0.07091,0.07193,181860517.4,0.0350799989700317
2023-05-16,0.07195,0.07324,0.0709,0.07276,179849219.4,0.0354900002479553
2023-05-17,0.07275,0.07546,0.0723,0.07484,273335463.9,0.0358100008964538
2023-05-18,0.07484,0.07491,0.07163,0.07341,222581449.5,0.0364800000190734
2023-05-19,0.07343,0.07407,0.07299,0.07353,109229963.5,0.0369199991226196
2023-05-20,0.07351,0.0739,0.07308,0.07364,49203234.8,0.0369199991226196
2023-05-21,0.07363,0.07401,0.07196,0.07214,57901361.2,0.0369199991226196
