,Open,High,Low,Close,Volume,Risk Free Rate
2023-10-17,1600.03,1601.44,1552.74,1565.24,63796.87989577,0.04847000122070313
2023-10-18,1565.25,1586.27,1556.01,1563.67,57059.23546765,0.049039998054504395
2023-10-19,1563.66,1576.25,1542.36,1567.48,59230.76611412,0.0498799991607666
2023-10-20,1567.5,1632.11,1562.0,1604.96,110280.40281731,0.04923999786376953
2023-10-21,1604.94,1644.77,1593.06,1629.38,63605.34688817,0.04923999786376953
2023-10-22,1629.37,1668.28,1622.36,1664.43,64860.7669214,0.04923999786376953
2023-10-23,1664.43,1799.55,1657.95,1766.27,191320.15916936,0.04837999820709229
2023-10-24,1766.24,1854.62,1725.79,1785.28,261859.90084142,0.04840000152587891
2023-10-25,1785.06,1818.29,1760.2,1787.58,126450.2986493,0.04953000068664551
2023-10-26,1787.58,1865.86,1762.67,1803.57,162066.45814023,0.0484499979019165
2023-10-27,1803.56,1804.29,1745.05,1779.81,90425.04228072,0.0484499979019165
2023-10-28,1779.78,1803.48,1770.8,1776.48,34085.17268661,0.0484499979019165
2023-10-29,1776.48,1811.68,1763.25,1795.74,48201.56051951,0.0484499979019165
2023-10-30,1795.63,1830.64,1778.24,1809.69,80444.07174014,0.04875
2023-10-31,1809.67,1820.0,1781.62,1815.14,80270.49772666,0.04875
2023-11-01,1815.14,1859.0,1783.48,1847.74,139857.49667144,0.047890000343322754
2023-11-02,1847.74,1875.0,1785.03,1801.31,110389.55551632,0.04669000148773193
2023-11-03,1801.31,1836.16,1777.0,1833.76,79637.2413367,0.04558000087738037
2023-11-04,1833.64,1870.32,1825.11,1857.23,38916.34595206,0.04558000087738037
2023-11-05,1857.17,1913.57,1847.46,1893.16,82496.39953529,0.04558000087738037
2023-11-06,1893.13,1916.13,1870.64,1901.68,97625.94820106,0.04662000179290771
2023-11-07,1901.67,1908.07,1851.01,1885.93,122337.33944691,0.04571000099182129
2023-11-08,1885.93,1905.3,1873.55,1888.84,74827.09163576,0.04522999763488769
2023-11-09,1888.86,2131.91,1882.84,2121.3,290571.52840203,0.04630000114440918
2023-11-10,2120.88,2136.53,2066.0,2078.57,148151.5915368,0.04627999782562256
2023-11-11,2078.57,2091.61,2032.14,2053.83,84815.43690608,0.04627999782562256
2023-11-12,2053.94,2066.93,2013.5,2046.06,50912.23589705,0.04627999782562256
2023-11-13,2046.06,2118.65,2029.28,2053.99,144429.20318696,0.04631999969482422
2023-11-14,2054.31,2065.48,1933.0,1979.61,136319.6702245,0.04440999984741211
2023-11-15,1979.45,2063.58,1967.19,2059.38,152595.88274792,0.04534999847412109
2023-11-16,2059.46,2100.0,1909.37,1961.76,178044.63341731,0.04445000171661377
2023-11-17,1961.66,1991.25,1906.15,1961.57,125667.83736351,0.04440999984741211
2023-11-18,1961.53,1972.38,1917.96,1963.76,45737.12941532,0.04440999984741211
2023-11-19,1963.75,2016.6,1944.65,2012.29,55072.30287312,0.04440999984741211
2023-11-20,2012.68,2067.79,1993.59,2022.55,146484.68418925,0.04421999931335449
2023-11-21,2022.56,2035.77,1930.86,1933.45,136174.20007133,0.04418000221252441
2023-11-22,1933.52,2092.66,1929.26,2063.94,146760.1198297,0.04415999889373779
2023-11-23,2063.95,2089.18,2040.23,2062.78,84629.71524463,0.04415999889373779
2023-11-24,2062.51,2134.16,2059.7,2082.61,127130.6016511,0.044720001220703125
2023-11-25,2082.74,2091.72,2067.11,2084.02,32637.81834342,0.044720001220703125
2023-11-26,2084.0,2095.16,2037.8,2063.09,57167.2638941,0.044720001220703125
2023-11-27,2063.13,2072.0,1985.72,2027.47,125768.15951531,0.04388999938964844
2023-11-28,2027.46,2076.0,1995.29,2049.08,100207.915287,0.043359999656677244
2023-11-29,2048.94,2075.84,2019.63,2029.11,75542.21726307,0.042709999084472657
2023-11-30,2029.14,2055.74,2020.96,2053.1,75775.80126746,0.043520002365112304
2023-12-01,2053.08,2112.09,2045.99,2088.4,142736.12841928,0.0422599983215332
2023-12-02,2088.43,2190.48,2086.97,2165.76,83470.66010767,0.0422599983215332
2023-12-03,2165.85,2217.78,2150.3,2194.13,78192.25684803,0.0422599983215332
2023-12-04,2194.12,2274.95,2192.41,2243.29,156712.86675745,0.04288000106811524
2023-12-05,2243.25,2309.82,2187.97,2293.97,167077.77250219,0.041710000038146976
2023-12-06,2293.96,2312.75,2219.61,2232.8,134193.65734318,0.04120999813079834
2023-12-07,2233.08,2384.0,2222.58,2356.57,159654.71681372,0.04129000186920166
2023-12-08,2356.4,2392.35,2338.25,2358.59,130139.81922754,0.04244999885559082
2023-12-09,2359.01,2403.37,2329.35,2341.28,69627.48310609,0.04244999885559082
2023-12-10,2341.48,2377.61,2322.53,2352.29,44645.61294931,0.04244999885559082
2023-12-11,2352.71,2354.99,2127.36,2224.06,193291.06535168,0.04238999843597412
2023-12-12,2224.15,2243.23,2164.82,2202.34,128295.68890567,0.04205999851226807
2023-12-13,2202.39,2284.98,2144.52,2260.69,141516.28789964,0.040329999923706054
2023-12-14,2260.69,2332.39,2229.9,2315.95,142369.02286482,0.03930000066757202
2023-12-15,2315.81,2318.39,2199.76,2220.31,122773.57046315,0.039279999732971194
2023-12-16,2220.44,2262.0,2209.68,2227.29,49598.43029094,0.039279999732971194
2023-12-17,2227.19,2247.08,2189.89,2194.75,56323.1405293,0.039279999732971194
2023-12-18,2194.45,2223.31,2115.22,2218.71,103052.23127627,0.03953999996185303
2023-12-19,2218.58,2254.14,2134.43,2177.27,122574.02370214,0.039219999313354494
2023-12-20,2177.32,2264.85,2156.96,2202.0,164826.68035353,0.03877000093460083
2023-12-21,2201.93,2279.65,2182.83,2239.92,136641.48600479,0.03894000053405762
2023-12-22,2239.92,2344.26,2230.66,2326.35,173481.66487576,0.03901000022888183
2023-12-23,2326.49,2332.69,2266.79,2309.58,71690.42077486,0.03901000022888183
2023-12-24,2309.51,2327.66,2244.79,2265.33,66756.02178328,0.03901000022888183
2023-12-25,2265.45,2304.93,2253.96,2271.53,46049.01449884,0.03901000022888183
2023-12-26,2271.42,2275.2,2148.1,2230.91,112774.77130849,0.038859999179840087
2023-12-27,2230.93,2393.39,2212.12,2380.66,167830.74188422,0.03789000034332275
2023-12-28,2380.54,2448.25,2336.7,2344.94,187887.79244123,0.038499999046325686
2023-12-29,2345.08,2386.99,2255.78,2299.37,155499.37553718,0.03865999937057495
2023-12-30,2299.17,2322.86,2267.63,2291.15,66344.10814823,0.03865999937057495
2023-12-31,2291.51,2320.48,2259.1,2281.07,94453.26052695,0.03865999937057495
2024-01-01,2281.03,2353.33,2264.86,2352.76,65735.83712724,0.03865999937057495
2024-01-02,2352.8,2433.19,2342.19,2356.16,146957.41838868,0.03946000099182129
2024-01-03,2356.27,2385.66,2100.0,2210.49,238855.87311254,0.03907000064849853
2024-01-04,2210.49,2297.64,2203.1,2269.47,139871.10592444,0.039909999370574954
2024-01-05,2269.48,2278.84,2207.6,2270.35,103166.13797897,0.040419998168945315
2024-01-06,2270.29,2271.72,2217.0,2241.87,43380.28085198,0.040419998168945315
2024-01-07,2241.81,2258.57,2206.66,2222.69,44609.45118075,0.040419998168945315
